"","Mean","Water_Content","Relative_PAR","TOC","TN","TP"
"Forest_1",6.25,3.6,0.000606244316459533,7.685,0.574,0.2155
"Forest_2",6.25,4.55,0.0018187329493786,6.625,0.5795,0.2075
"Forest_3",7.25,6.46,0.00303122158229767,7.115,0.5805,0.202
"Forest_Edge_Interior_1",5.5,5.55,0.200060624431646,7.305,0.6195,0.226
"Forest_Edge_Interior_2",5.75,6.18,0.0103061533798121,7.115,0.547,0.218
"Forest_Edge_Interior_3",8.5,7.87,0.167929675659291,6.595,0.547,0.208
"Forest_Edge_Exterior_1",7.375,6.79,0.278872385571385,6.79,0.5935,0.2135
"Forest_Edge_Exterior_2",6.75,8.97,0.120036374658988,5.38,0.4615,0.2155
"Forest_Edge_Exterior_3",7.75,4.33,0.22067293119127,5.36,0.4585,0.227
"Pioneer_Near_1",7.75,5.61,0.00666868748105486,7,0.6125,0.217
"Pioneer_Near_2",6.5,5.89,0.0563807214307366,7.82,0.6555,0.2255
"Pioneer_Near_3",6.5,4.025,0.00969990906335253,6.58,0.53,0.218
"Pioneer_Far_1",7.625,4.8,0.0072749317975144,9.02,0.735,0.231
"Pioneer_Far_2",8.25,5.13,0.0387996362534101,11.785,0.8465,0.22
"Pioneer_Far_3",8.375,7,0.0242497726583813,7.195,0.6335,0.2905
"Grass_Near_1",8.625,6.77,0.139436192785693,5.735,0.4735,0.206
"Grass_Near_2",7,4.88,0.198241891482267,5.42,0.4685,0.2115
"Grass_Near_3",6.625,2.01,0.100636556532283,4.37,0.398,0.2075
"Grass_Far_1",5.375,6.35,0.0054561988481358,6.59,0.608,0.222
"Grass_Far_2",6.5,7.95,0.0054561988481358,5.555,0.508,0.195
"Grass_Far_3",5.75,5.86,0.00303122158229767,6.165,0.5305,0.2135
