"","Bryophyte Parasite-Ectomycorrhizal-Litter Saprotroph-Wood Saprotroph","Ectomycorrhizal","Ectomycorrhizal-Fungal Parasite","Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Ectomycorrhizal-Undefined Saprotroph","Ectomycorrhizal-Undefined Saprotroph-Wood Saprotroph"
"Forest A1",6,0,0,0,61,0
"Forest A2",4,0,3,2,101,0
"Forest B1",0,0,0,0,41,0
"Forest B2",0,0,6,0,75,0
"Forest C1",2,0,5,0,76,0
"Forest C2",35,4,0,0,73,0
"Forest Interior A1",0,8,1107,0,25,0
"Forest Interior A2",0,0,0,0,38,0
"Forest Interior B1",0,0,473,0,31,0
"Forest Interior B2",0,0,9,0,18,0
"Forest Interior C1",0,0,0,43,43,32
"Forest Interior C2",0,0,9,9,22,0
"Forest Exterior A1",0,0,0,0,39,0
"Forest Exterior A2",0,3,13,0,20,0
"Forest Exterior B1",0,0,11,0,15,0
"Forest Exterior B2",0,0,12,0,5,0
"Forest Exterior C1",0,0,2,0,13,0
"Forest Exterior C2",0,2,0,0,68,0
"Pioneer Near A1",0,0,50,8,40,0
"Pioneer Near A2",50,0,0,0,18,0
"Pioneer Near B1",0,0,22,0,11,0
"Pioneer Near B2",0,0,10,0,11,0
"Pioneer Near C1",14,0,24,0,485,0
"Pioneer Near C2",3,2,4,3,29,0
"Pioneer Far A1",3,0,0,0,263,0
"Pioneer Far A2",0,0,7,0,223,0
"Pioneer Far B1",0,0,11,0,827,0
"Pioneer Far B2",0,0,19,0,950,0
"Pioneer Far C1",2,0,0,0,705,0
"Pioneer Far C2",0,0,0,0,774,0
"Grass Near A1",0,0,11,0,55,0
"Grass Near A2",0,0,0,0,188,0
"Grass Near B1",0,0,477,0,19,0
"Grass Near B2",0,0,27,0,40,0
"Grass Near C1",0,3,37,0,53,0
"Grass Near C2",0,0,0,0,22,0
"Grass Far A2",0,2,36,0,45,0
"Grass Far  B1",0,10,0,0,404,0
"Grass Far  B2",3,0,0,0,29,0
"Grass Far C1 ",0,0,0,0,77,0
"Grass Far C2",0,13,931,0,68,0
"UMNR A1",0,0,142,21,225,0
"UMNR A2",0,0,25,0,267,0
"UMNR B1",0,0,174,4,331,0
"UMNR B2",0,2,0,4,658,0
"UMNR C1",0,0,3,0,115,0
"UMNR C2",0,0,62,0,435,0
