"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales",2593,722,1636,433,554,1477,1058,4558
"k__Fungi.p__Ascomycota.c__Eurotiomycetes",0,1098,0,3311,3784,2216,4,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Chaetomium",348,2201,1223,1661,1581,274,272,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae",1132,648,641,806,446,1559,1484,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.s__Metarhizium_anisopliae",77,846,320,1332,1165,617,267,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae",1461,80,325,0,0,766,1046,692
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Purpureocillium",587,681,835,626,718,71,833,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.1",92,947,184,1033,1423,0,320,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified",240,422,376,341,1789,19,754,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.2",807,306,195,362,382,704,93,931
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.1",27,913,552,499,462,3,1124,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium",389,631,381,753,720,321,347,5
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae",508,81,165,262,24,1265,157,876
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.s__Metarhizium_anisopliae.1",164,262,666,37,0,726,1311,10
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.1",435,0,347,0,0,573,0,1639
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.1",534,274,654,385,191,258,489,118
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae",458,540,704,273,372,200,272,22
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.3",0,0,418,0,422,262,366,1311
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium",434,28,1171,13,0,0,0,815
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified",7,821,120,654,725,6,12,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.1",43,23,0,17,0,1636,21,505
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron",0,0,0,58,0,2186,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified",0,375,0,40,189,0,1538,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Tolypocladium",599,175,586,357,110,209,9,65
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified",0,605,0,953,443,104,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella",316,445,379,262,296,220,163,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae",38,668,13,613,688,4,39,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes",0,357,10,1308,344,6,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.1",371,303,381,235,195,115,201,187
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.1",0,495,13,10,1050,0,389,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.1",0,253,0,357,378,819,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified",311,121,484,177,85,424,174,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.g__Apiotrichum",165,18,121,793,14,95,342,59
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.2",16,43,0,0,0,154,0,1372
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Tolypocladium.1",73,0,23,19,0,540,13,829
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.1",0,440,0,186,574,20,203,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavulinopsis",0,903,0,0,513,0,0,0
