"","Forest_A1","Forest_A2","Forest_B1","Forest_B2","Forest_C1","Forest_C2","Forest_Edge_Interior_A1","Forest_Edge_Interior_A2","Forest_Edge_Interior_B1","Forest_Edge_Interior_B2","Forest_Edge_Interior_C1","Forest_Edge_Interior_C2","Forest_Edge_Exterior_A1","Forest_Edge_Exterior_A2","Forest_Edge_Exterior_B1","Forest_Edge_Exterior_B2","Forest_Edge_Exterior_C1","Forest_Edge_Exterior_C2","Pioneer_Near_A1","Pioneer_Near_A2","Pioneer_Near_B1","Pioneer_Near_B2","Pioneer_Near_C1","Pioneer_Near_C2","SE4626_J4816","SE4627_J4816","SE4628_J4816","SE4629_J4816","SE4630_J4816","SE4631_J4816","Grass_Near_A1","Grass_Near_A2","Grass_Near_B1","Grass_Near_B2","Grass_Near_C1","Grass_Near_C2","UMNR_A1","UMNR_A2","UMNR_B1","UMNR_B2","UMNR_C1","UMNR_C2","Grass_Far_A2","Grass_Far_B1","Grass_Far_B2","Grass_Far_C1","Grass_Far_C2"
"Algal Parasite--Leaf Saprotroph-Wood Saprotroph",0,0,15,7,16,17,0,7,2,0,15,0,0,5,0,0,0,0,7,11,7,0,8,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph",13,19,86,33,34,13,5,11,27,49,43,49,17,103,13,31,101,44,0,23,7,11,73,33,7,6,0,0,0,0,33,21,54,27,30,14,6,168,16,6,29,28,72,11,54,36,96
"Animal Pathogen",3,0,80,24,7,15,7,0,0,8,39,13,0,14,3,12,4,2,0,16,3,9,0,0,2,0,0,0,0,0,3,73,0,0,0,0,8,0,8,8,0,5,7,0,5,3,3
"Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph",168,142,88,59,59,85,195,64,161,137,181,65,173,95,100,117,85,178,134,152,45,125,284,98,97,84,63,108,85,83,119,133,82,103,105,38,70,35,27,30,23,69,71,58,146,63,178
"Animal Pathogen-Fungal Parasite-Undefined Saprotroph",93,57,39,41,38,62,25,15,33,16,37,19,142,168,372,179,890,1077,24,88,14,12,54,52,332,126,164,51,119,78,652,396,288,1059,615,382,80,116,244,16,303,904,310,362,251,324,379
"Animal Pathogen-Lichen Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph",16,29,9,11,3,8,0,0,0,0,43,21,10,0,0,0,24,8,6,0,0,0,21,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Animal Pathogen-Plant Pathogen-Undefined Saprotroph",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animal Pathogen-Undefined Saprotroph",0,12,13,8,23,15,3,4,4,5,5,69,2,12,0,0,4,0,9,0,0,4,7,4,0,14,0,5,0,7,0,0,0,0,2,0,11,12,4,12,41,11,0,0,0,0,19
"Arbuscular Mycorrhizal",0,2,55,24,134,22,11,40,13,11,44,15,79,22,182,13,67,124,41,18,150,202,232,76,26,89,35,43,69,144,171,51,56,123,86,65,60,4,7,47,24,31,88,59,101,54,72
"Bryophyte Parasite-Ectomycorrhizal-Litter Saprotroph-Wood Saprotroph",6,4,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,14,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
