"","Taxonomy","Forest A1","Forest A2","Forest B1","Forest B2","Forest C1","Forest C2","Forest Interior A1","Forest Interior A2","Forest Interior B1","Forest Interior B2","Forest Interior C1","Forest Interior C2","Forest Exterior A1","Forest Exterior A2","Forest Exterior B1","Forest Exterior B2","Forest Exterior C1","Forest Exterior C2","Pioneer Near A1","Pioneer Near A2","Pioneer Near B1","Pioneer Near B2","Pioneer Near C1","Pioneer Near C2","Pioneer Far A1","Pioneer Far A2","Pioneer Far B1","Pioneer Far B2","Pioneer Far C1","Pioneer Far C2","Grass Near A1","Grass Near A2","Grass Near B1","Grass Near B2","Grass Near C1","Grass Near C2","UMNR A1","UMNR A2","UMNR B1","UMNR B2","UMNR C1","UMNR C2","Grass Far A2","Grass Far  B1","Grass Far  B2","Grass Far C1 ","Grass Far C2","guild"
"7","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium",127,130,31,82,57,160,404,0,193,204,20,14,166,101,102,119,42,151,0,171,213,261,188,0,0,0,0,0,0,71,202,121,91,78,124,102,0,0,0,0,0,0,0,101,124,238,163,"Fungal Parasite"
"17","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae",71,58,112,63,54,100,90,138,109,178,118,71,66,172,100,54,94,54,84,117,0,22,28,21,0,0,32,53,57,58,97,164,66,0,12,33,7,0,0,8,7,0,9,36,31,113,84,"Plant Saprotroph-Wood Saprotroph"
"19","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",231,203,0,0,0,0,146,317,402,306,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,54,105,179,144,209,0,0,0,13,0,"Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph"
"22","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,490,311,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,"Ectomycorrhizal-Undefined Saprotroph"
"25","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,5,87,24,0,382,107,0,0,0,0,0,0,0,0,29,0,57,18,78,0,151,0,0,214,0,0,0,0,0,0,83,357,0,205,308,"Undefined Saprotroph"
"27","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae",12,26,0,0,0,0,0,0,8,5,0,0,9,61,29,19,84,466,0,0,2,0,37,0,0,0,0,0,0,4,361,111,62,82,18,54,0,0,0,0,0,0,52,176,84,123,178,"Animal Pathogen-Fungal Parasite-Undefined Saprotroph"
"29","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium",73,64,132,76,0,26,115,132,50,46,21,17,57,54,48,67,28,49,0,27,28,60,86,0,17,0,15,21,0,62,38,29,55,32,23,18,0,172,0,15,0,0,57,50,54,43,31,"Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph"
"31","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,38,193,0,22,0,0,0,0,0,0,0,125,0,37,4,315,338,10,0,4,77,0,287,0,0,0,0,0,0,73,0,9,85,190,"Undefined Saprotroph"
"37","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,9,699,0,0,0,0,0,0,0,0,0,0,0,0,78,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lichenized-Undefined Saprotroph"
"38","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma",38,24,24,50,40,61,71,83,48,37,74,24,49,25,24,22,25,18,66,54,58,78,109,44,9,9,8,11,14,23,27,14,20,15,18,14,8,0,0,12,8,12,0,11,12,9,9,"Plant Pathogen-Wood Saprotroph"
