"","Saprobe_Abundance","Endomycorrhizae","Ectomycorrhizae_Abundance","Plant_Pathogen_Abundance","Other_Abundance"
"Forest_1",4412,2,177,812,1326
"Forest_2",3743,79,122,416,874
"Forest_3",5778,156,195,578,1044
"Forest_Edge_Interior_1",4639,51,1178,777,2647
"Forest_Edge_Interior_2",4155,24,531,616,1697
"Forest_Edge_Interior_3",3644,59,158,928,1251
"Forest_Edge_Exterior_1",2948,101,75,519,1785
"Forest_Edge_Exterior_2",3025,195,43,424,2029
"Forest_Edge_Exterior_3",6206,191,85,472,4123
"Pioneer_Near_1",4692,59,166,1061,1224
"Pioneer_Near_2",1729,352,54,567,1158
"Pioneer_Near_3",4718,308,564,898,1153
"Pioneer_Far_1",6666,115,496,457,2064
"Pioneer_Far_2",5477,78,1807,430,835
"Pioneer_Far_3",5690,213,1481,244,1320
"Grass_Near_1",3564,222,254,466,2583
"Grass_Near_2",3023,179,563,496,2792
"Grass_Near_3",4544,151,115,347,2979
"Grass_Far_1",1181,88,83,106,779
"Grass_Far_2",3532,160,446,507,1604
"Grass_Far_3",3987,126,1089,496,2816
