"","Total N","Total P","Total Organic N"
"Forest_1",0.87,0.049,0.3752594405
"Forest_2",1.275,0.0855,0.894609685
"Forest_3",1.01,0.0695,0.6755248055
"Forest_Edge_Interior_1",1.135,0.0675,1.0918192915
"Forest_Edge_Interior_2",0.88,0.0495,0.617607527
"Forest_Edge_Interior_3",0.915,0.0575,0.959966276
"Forest_Edge_Exterior_1",1.545,0.1325,5.6537758035
"Forest_Edge_Exterior_2",1.115,0.085,2.91005291
"Forest_Edge_Exterior_3",1.43,0.08,0.8458036985
"Pioneer_Near_1",0.84,0.0945,0.9086265985
"Pioneer_Near_2",1.07,0.0855,0.8421592775
"Pioneer_Near_3",1.29,0.127,2.7639784945
"Pioneer_Far_1",1.275,0.0795,1.035200257
"Pioneer_Far_2",1.055,0.0845,1.4211081
"Pioneer_Far_3",0.95,0.071,1.149926362
"Grass_Near_1",2.135,0.2535,2.284846547
"Grass_Near_2",1.445,0.175,1.7849409845
"Grass_Near_3",1.49,0.181,1.1040739565
"Grass_Far_1",1.15,0.053,2.9965834815
"Grass_Far_2",1.08,0.0525,5.2485714285
"Grass_Far_3",1.08,0.052,2.441317776
