"","Animal Pathogen-Lichen Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Endophyte-Plant Pathogen","Endophyte-Plant Pathogen-Plant Saprotroph","Endophyte-Plant Pathogen-Undefined Saprotroph","Endophyte-Plant Pathogen-Wood Saprotroph","Plant Pathogen","Plant Pathogen-Plant Saprotroph","Plant Pathogen-Undefined Parasite-Undefined Saprotroph","Plant Pathogen-Undefined Saprotroph","Plant Pathogen-Wood Saprotroph"
"Forest A1",16,0,96,99,32,0,0,9,53,4,0,25,59
"Forest A2",29,0,82,24,18,2,0,2,3,0,0,35,35
"Forest B1",9,0,12,7,0,3,0,11,26,0,0,0,33
"Forest B2",11,0,26,12,5,0,7,11,45,5,0,0,65
"Forest C1",3,0,10,11,0,3,22,6,65,5,0,0,59
"Forest C2",8,0,20,2,0,0,0,12,134,7,0,0,80
"Forest Interior A1",0,2,21,93,16,5,185,0,40,0,0,3,88
"Forest Interior A2",0,0,8,58,0,4,5,3,27,0,0,0,111
"Forest Interior B1",0,0,25,30,3,4,0,13,25,4,0,18,64
"Forest Interior B2",0,0,19,54,3,5,0,11,65,0,0,0,59
"Forest Interior C1",43,0,23,38,0,0,0,14,199,0,0,5,104
"Forest Interior C2",21,0,106,13,5,0,4,10,63,0,0,0,33
"Forest Exterior A1",10,0,2,134,2,0,0,6,9,0,0,0,55
"Forest Exterior A2",0,0,3,256,60,0,0,15,35,0,0,0,39
"Forest Exterior B1",0,0,2,45,3,0,0,7,116,2,0,0,24
"Forest Exterior B2",0,0,0,46,0,0,0,10,10,0,0,0,28
"Forest Exterior C1",24,0,0,0,5,0,0,8,27,0,0,0,33
"Forest Exterior C2",8,0,0,11,4,0,0,0,68,0,2,2,26
"Pioneer Near A1",6,0,26,9,0,13,0,0,185,0,0,2,80
"Pioneer Near A2",0,0,49,27,40,29,0,18,251,0,0,0,68
"Pioneer Near B1",0,0,37,12,0,11,0,7,60,0,0,0,73
"Pioneer Near B2",0,0,45,79,12,0,0,34,30,0,0,0,88
"Pioneer Near C1",21,0,47,37,11,0,0,0,68,0,0,0,144
"Pioneer Near C2",2,0,16,32,9,0,0,2,106,0,0,33,54
"Pioneer Far A1",0,0,0,8,0,7,0,8,165,0,0,0,9
"Pioneer Far A2",0,0,0,0,0,0,0,4,74,0,0,0,9
"Pioneer Far B1",0,0,13,6,4,0,46,69,36,0,0,0,14
"Pioneer Far B2",0,0,9,0,0,0,0,16,35,0,0,6,11
"Pioneer Far C1",0,0,3,0,0,3,0,0,0,0,0,0,23
"Pioneer Far C2",3,0,0,8,4,0,0,0,10,0,0,0,30
"Grass Near A1",0,0,4,32,13,0,0,4,42,0,0,0,27
"Grass Near A2",2,0,0,49,5,0,0,0,99,0,0,0,18
"Grass Near B1",0,0,0,38,34,0,0,0,202,0,0,0,26
"Grass Near B2",0,0,0,82,0,0,0,0,18,0,0,0,15
"Grass Near C1",0,0,0,353,0,0,0,0,30,0,0,0,23
"Grass Near C2",0,0,0,94,0,0,0,0,15,91,3,0,14
"Grass Far A2",0,0,0,36,5,0,0,0,24,0,0,0,6
"Grass Far  B1",0,0,0,60,12,0,0,0,25,0,0,0,31
"Grass Far  B2",0,0,10,165,7,0,0,0,204,0,2,0,12
"Grass Far C1 ",0,0,6,31,3,0,0,0,17,0,0,0,9
"Grass Far C2",0,0,0,159,0,0,0,0,199,0,0,0,9
"UMNR A1",0,0,0,39,0,0,218,2,11,0,0,0,14
"UMNR A2",0,0,5,36,0,0,16,0,21,3,0,0,22
"UMNR B1",0,0,0,7,0,3,6,0,21,3,0,0,17
"UMNR B2",3,0,0,74,0,0,12,0,28,0,0,0,29
"UMNR C1",0,0,0,7,0,0,18,0,48,4,0,4,25
"UMNR C2",0,0,4,10,0,0,45,0,17,11,0,3,40
