"","Algal Parasite--Leaf Saprotroph-Wood Saprotroph","Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph","Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","Animal Pathogen-Lichen Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Animal Pathogen-Undefined Saprotroph","Bryophyte Parasite-Ectomycorrhizal-Litter Saprotroph-Wood Saprotroph","Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph","Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph","Dung Saprotroph-Plant Saprotroph","Dung Saprotroph-Plant Saprotroph-Soil Saprotroph","Dung Saprotroph-Plant Saprotroph-Wood Saprotroph","Dung Saprotroph-Soil Saprotroph","Dung Saprotroph-Soil Saprotroph-Wood Saprotroph","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Ectomycorrhizal-Undefined Saprotroph","Ectomycorrhizal-Undefined Saprotroph-Wood Saprotroph","Endophyte-Leaf Saprotroph-Plant Pathogen","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Endophyte-Plant Pathogen-Plant Saprotroph","Endophyte-Plant Pathogen-Undefined Saprotroph","Endophyte-Plant Pathogen-Wood Saprotroph","Endophyte-Undefined Saprotroph","Fungal Parasite-Litter Saprotroph-Undefined Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Fungal Parasite-Wood Saprotroph","Lichen Parasite-Wood Saprotroph","Lichenized-Undefined Saprotroph","Lichenized-Wood Saprotroph","Litter Saprotroph-Soil Saprotroph-Wood Saprotroph","Plant Pathogen-Plant Saprotroph","Plant Pathogen-Undefined Parasite-Undefined Saprotroph","Plant Pathogen-Undefined Saprotroph","Plant Pathogen-Wood Saprotroph","Plant Saprotroph","Plant Saprotroph-Wood Saprotroph","Soil Saprotroph","Soil Saprotroph-Undefined Saprotroph","Undefined Saprotroph","Undefined Saprotroph-Wood Saprotroph","Wood Saprotroph"
"Forest A1",0,13,168,93,16,0,0,6,96,5,6,0,14,5,0,465,0,61,0,0,99,0,0,9,0,0,0,0,0,15,3,61,4,0,25,59,0,236,3,0,709,0,81
"Forest A2",0,19,142,57,29,0,12,4,82,0,15,0,0,5,0,370,2,101,0,0,24,2,0,2,0,0,0,0,0,2,0,32,0,0,35,35,0,418,0,0,635,16,121
"Forest B1",15,86,88,39,9,0,13,0,12,9,2,5,17,92,16,324,0,41,0,0,7,3,0,11,0,0,0,0,0,9,0,34,0,0,0,33,2,492,0,0,355,0,198
"Forest B2",7,33,59,41,11,0,8,0,26,2,3,6,24,26,17,220,0,75,0,0,12,0,7,11,0,0,0,0,0,17,0,17,5,0,0,65,2,390,0,0,619,2,126
"Forest C1",16,34,59,38,3,0,23,2,10,17,11,0,43,22,78,179,0,76,0,0,11,3,22,6,0,0,0,0,0,48,0,20,5,0,0,59,0,358,0,0,1395,0,87
"Forest C2",17,13,85,62,8,0,15,35,20,123,34,66,55,22,9,292,0,73,0,0,2,0,0,12,0,0,0,0,0,23,0,18,7,0,0,80,0,739,0,0,1256,0,87
"Forest Interior A1",0,5,195,25,0,2,3,0,21,0,26,4,12,24,3,603,0,25,0,0,93,5,185,0,0,0,0,7,0,0,0,25,0,0,3,88,0,302,0,0,769,0,110
"Forest Interior A2",7,11,64,15,0,0,4,0,8,0,69,9,5,24,6,684,0,38,0,0,58,4,5,3,0,0,0,0,0,19,0,32,0,0,0,111,0,247,0,0,546,0,135
"Forest Interior B1",2,27,161,33,0,0,4,0,25,5,8,0,19,2,0,687,0,31,0,0,30,4,0,13,0,0,0,0,0,2,0,77,4,0,18,64,0,393,0,0,590,0,75
"Forest Interior B2",0,49,137,16,0,0,5,0,19,21,0,0,19,0,0,629,0,18,0,0,54,5,0,11,0,0,0,0,0,7,0,94,0,0,0,59,0,351,0,0,269,0,118
"Forest Interior C1",15,43,181,37,43,0,5,0,23,0,4,18,23,14,12,249,43,43,32,0,38,0,0,14,0,0,0,0,5,168,0,80,0,0,5,104,8,393,0,0,471,0,133
"Forest Interior C2",0,49,65,19,21,0,69,0,106,8,5,0,4,2,0,173,9,22,0,0,13,0,4,10,0,0,0,0,0,22,0,49,0,0,0,33,0,558,0,0,124,3,72
"Forest Exterior A1",0,17,173,142,10,0,2,0,2,0,5,0,0,14,0,146,0,39,0,0,134,0,0,6,0,0,2,0,0,28,0,0,0,0,0,55,0,103,0,0,183,0,40
"Forest Exterior A2",5,103,95,168,0,0,12,0,3,0,7,0,10,0,0,141,0,20,0,0,256,0,0,15,0,0,13,0,0,90,0,17,0,0,0,39,0,308,0,0,346,0,199
"Forest Exterior B1",0,13,100,372,0,0,0,0,2,0,3,0,5,0,0,54,0,15,0,0,45,0,0,7,0,0,5,0,0,414,0,0,2,0,0,24,0,316,0,0,421,0,177
"Forest Exterior B2",0,31,117,179,0,0,0,0,0,0,13,0,0,21,0,73,0,5,0,0,46,0,0,10,0,0,0,0,0,287,0,5,0,0,0,28,0,131,0,0,76,0,28
"Forest Exterior C1",0,101,85,890,24,0,4,0,0,0,0,0,0,0,0,143,0,13,0,0,0,0,0,8,0,0,0,0,0,254,0,42,0,0,0,33,0,243,0,0,541,0,110
"Forest Exterior C2",0,44,178,1077,8,0,0,0,0,0,2,0,0,0,0,163,0,68,0,0,11,0,0,0,0,0,2,0,0,829,0,20,0,2,2,26,0,287,0,0,907,0,89
