1369						
0	Fungi						
0	Fungi	Aphelidiomycota	Aphelidiomycetes	GS16	unidentified	unidentified	unidentified
25	Fungi	Ascomycota					
2	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	unidentified
11	Fungi	Ascomycota	Dothideomycetes				
0	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae		
10	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	
0	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	
0	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	
34	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae		
0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Extremaceae		
0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	
0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae		
0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
0	Fungi	Ascomycota	Dothideomycetes	Dothideales			
0	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	
0	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis	
0	Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera	
0	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe	
0	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	
0	Fungi	Ascomycota	Dothideomycetes	Patellariales			
185	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyosporium	
19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	
37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Spegazzinia	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae		
14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae		
24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Hermatomyces	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Nigrograna	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	Pseudorobillarda_phragmitis
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tetraplosphaeriaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Roussoella	
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae		
0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	
12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
0	Fungi	Ascomycota	Dothideomycetes	Tubeufiales			
0	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae		
0	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Tubeufia	
0	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	unidentified	unidentified
0	Fungi	Ascomycota	Dothideomycetes	Venturiales			
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae		
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Pseudosigmoidea	
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	unidentified	unidentified
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae		
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	unidentified	unidentified
0	Fungi	Ascomycota	Dothideomycetes	Venturiales	unidentified	unidentified	unidentified
0	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	unidentified
274	Fungi	Ascomycota	Eurotiomycetes				
24	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	
19	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
11	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	unidentified
25	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	
0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Minimelanolocus	
0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	unidentified
124	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	unidentified
0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae		
41	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	unidentified
0	Fungi	Ascomycota	Eurotiomycetes	Coryneliales	Coryneliaceae		
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales			
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
11	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_flavus
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Hamigera	
12	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Monascus	
73	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_bilaiae
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sclerotiorum
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_simplicissimum
0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Thermoascus	Thermoascus_crustaceus
