Sample	r_processed	r_with_adapters	bp_processed	bp_written	percent_trimmed
SE4602_J4816_S215_L001_R1_001	9223	8482	2714921	2376137	12.47859514144242
SE4603_J4816_S216_L001_R1_001	10997	9872	3050911	2766789	9.312693815060486
SE4604_J4816_S217_L001_R1_001	11442	10647	3344979	2985649	10.74236938408283
SE4605_J4816_S218_L001_R1_001	8769	8291	2587894	2325692	10.131867843118767
SE4606_J4816_S219_L001_R1_001	9405	9046	2793099	2537192	9.162117060655566
SE4607_J4816_S220_L001_R1_001	15261	15027	4562483	4212518	7.670494333896697
SE4608_J4816_S221_L001_R1_001	12999	12568	3858822	3525114	8.647924159238233
SE4609_J4816_S222_L001_R1_001	9623	8894	2824942	2494485	11.697833088254555
SE4610_J4816_S223_L001_R1_001	11573	11179	3437453	3134590	8.8106804660311
SE4611_J4816_S224_L001_R1_001	7674	7231	2261843	2028818	10.302439205550517
SE4612_J4816_S225_L001_R1_001	12268	11887	3655837	3333529	8.816257398784465
SE4613_J4816_S226_L001_R1_001	9414	8977	2785725	2518961	9.576106758563748
SE4614_J4816_S227_L001_R1_001	9510	9000	2814043	2524896	10.275145049311613
SE4615_J4816_S228_L001_R1_001	9436	8917	2788483	2501764	10.282257413798112
SE4616_J4816_S229_L001_R1_001	10678	10419	3176059	2921090	8.02784205205256
SE4617_J4816_S230_L001_R1_001	8179	7689	2404471	2152140	10.494241768771593
SE4618_J4816_S231_L001_R1_001	11446	11011	3400704	3088201	9.189361967404396
SE4619_J4816_S232_L001_R1_001	13151	12697	3913651	3560424	9.025510961503722
SE4620_J4816_S233_L001_R1_001	12658	12286	3764452	3442739	8.546077888627615
SE4621_J4816_S234_L001_R1_001	10450	10009	3100530	2806312	9.48928086488439
SE4622_J4816_S235_L001_R1_001	10223	9756	3023381	2736462	9.490004733111705
SE4623_J4816_S236_L001_R1_001	9749	9306	2894993	2610730	9.819125642099998
SE4624_J4816_S237_L001_R1_001	11714	11314	3477296	3170945	8.81003515375165
SE4625_J4816_S238_L001_R1_001	8510	8322	2541283	2333798	8.16457671184201
SE4626_J4816_S239_L001_R1_001	9626	9416	2871535	2638962	8.099257017588155
SE4627_J4816_S240_L001_R1_001	9657	9169	2855877	2570250	10.001376109685395
SE4628_J4816_S241_L001_R1_001	9949	9648	2952009	2701139	8.4982803236711
SE4629_J4816_S242_L001_R1_001	11156	10727	3308470	3005032	9.171550595894779
SE4630_J4816_S243_L001_R1_001	11063	10735	3276017	3009648	8.130879662712372
SE4631_J4816_S244_L001_R1_001	11219	10751	3337243	3016489	9.611346851278135
SE4632_J4816_S245_L001_R1_001	11090	10739	3296779	3011484	8.653749614396354
SE4633_J4816_S246_L001_R1_001	10110	9901	2996187	2778302	7.272076142109955
SE4634_J4816_S247_L001_R1_001	9721	9434	2893728	2647423	8.511684581273707
SE4635_J4816_S248_L001_R1_001	12366	12091	3662977	3391691	7.406161709451083
SE4636_J4816_S249_L001_R1_001	13402	13347	4028170	3745850	7.008641641241556
SE4637_J4816_S250_L001_R1_001	12852	12794	3860346	3588121	7.0518290329416065
SE4638_J4816_S251_L001_R1_001	8795	8789	2643660	2466156	6.714327863643585
SE4639_J4816_S252_L001_R1_001	8591	8575	2580390	2404127	6.830866651940211
SE4640_J4816_S253_L001_R1_001	8352	8340	2507896	2337546	6.7925464213827045
SE4641_J4816_S254_L001_R1_001	9146	9133	2748517	2562107	6.782202911606514
SE4642_J4816_S255_L001_R1_001	9588	9576	2879941	2684988	6.769340066341637
SE4643_J4816_S256_L001_R1_001	14719	14703	4419308	4120543	6.7604475632836625
SE4644_J4816_S257_L001_R1_001	11399	11383	3428071	3195673	6.779264490146207
SE4645_J4816_S258_L001_R1_001	8894	8884	2673465	2492821	6.7569240667074375
SE4646_J4816_S259_L001_R1_001	9652	9639	2901460	2704857	6.776002426364657
SE4647_J4816_S260_L001_R1_001	11784	11764	3543636	3302583	6.802419887369922
SE4648_J4816_S261_L001_R1_001	10748	10735	3229815	3011411	6.762121050276873
