Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SE4602_J4816_S215_L001_R1_001	SE4602_J4816_S215_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8081.0	0.0	250.0	53.0	6.249226580868704	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4603_J4816_S216_L001_R1_001	SE4603_J4816_S216_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9444.0	0.0	250.0	56.0	5.230834392206693	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4604_J4816_S217_L001_R1_001	SE4604_J4816_S217_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10144.0	0.0	250.0	54.0	6.328864353312302	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4605_J4816_S218_L001_R1_001	SE4605_J4816_S218_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7934.0	0.0	250.0	53.0	6.76833879505924	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4606_J4816_S219_L001_R1_001	SE4606_J4816_S219_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8630.0	0.0	250.0	53.0	6.303592120509849	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4607_J4816_S220_L001_R1_001	SE4607_J4816_S220_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14294.0	0.0	250.0	53.0	4.855183993283895	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4608_J4816_S221_L001_R1_001	SE4608_J4816_S221_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11972.0	0.0	250.0	53.0	4.6692281991313065	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4609_J4816_S222_L001_R1_001	SE4609_J4816_S222_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8503.0	0.0	250.0	53.0	6.0214042102787255	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4610_J4816_S223_L001_R1_001	SE4610_J4816_S223_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10709.0	0.0	250.0	56.0	4.893080586422635	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4611_J4816_S224_L001_R1_001	SE4611_J4816_S224_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6903.0	0.0	250.0	54.0	5.809068520932928	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4612_J4816_S225_L001_R1_001	SE4612_J4816_S225_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11227.0	0.0	250.0	53.0	5.9766634007303825	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4613_J4816_S226_L001_R1_001	SE4613_J4816_S226_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8636.0	0.0	250.0	54.0	5.23390458545623	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4614_J4816_S227_L001_R1_001	SE4614_J4816_S227_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8506.0	0.0	250.0	54.0	5.913472842699271	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SE4615_J4816_S228_L001_R1_001	SE4615_J4816_S228_L001_R1_001_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8539.0	0.0	250.0	53.0	6.2887925986649496	250.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
