Module	Section	Sample Name	Source
FastQC (raw)	all_sections	SE4602_J4816_S215_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4602_J4816_S215_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4603_J4816_S216_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4603_J4816_S216_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4604_J4816_S217_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4604_J4816_S217_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4605_J4816_S218_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4605_J4816_S218_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4606_J4816_S219_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4606_J4816_S219_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4607_J4816_S220_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4607_J4816_S220_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4608_J4816_S221_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4608_J4816_S221_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4609_J4816_S222_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4609_J4816_S222_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4610_J4816_S223_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4610_J4816_S223_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4611_J4816_S224_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4611_J4816_S224_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4612_J4816_S225_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4612_J4816_S225_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4613_J4816_S226_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4613_J4816_S226_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4614_J4816_S227_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4614_J4816_S227_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4615_J4816_S228_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4615_J4816_S228_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4616_J4816_S229_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4616_J4816_S229_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4617_J4816_S230_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4617_J4816_S230_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4618_J4816_S231_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4618_J4816_S231_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4619_J4816_S232_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4619_J4816_S232_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4620_J4816_S233_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4620_J4816_S233_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4621_J4816_S234_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4621_J4816_S234_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4622_J4816_S235_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4622_J4816_S235_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4623_J4816_S236_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4623_J4816_S236_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4624_J4816_S237_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4624_J4816_S237_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4625_J4816_S238_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4625_J4816_S238_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4626_J4816_S239_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4626_J4816_S239_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4627_J4816_S240_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4627_J4816_S240_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4628_J4816_S241_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4628_J4816_S241_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4629_J4816_S242_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4629_J4816_S242_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4630_J4816_S243_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4630_J4816_S243_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4631_J4816_S244_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4631_J4816_S244_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4632_J4816_S245_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4632_J4816_S245_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4633_J4816_S246_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4633_J4816_S246_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4634_J4816_S247_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4634_J4816_S247_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4635_J4816_S248_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4635_J4816_S248_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4636_J4816_S249_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4636_J4816_S249_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4637_J4816_S250_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4637_J4816_S250_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4638_J4816_S251_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4638_J4816_S251_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4639_J4816_S252_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4639_J4816_S252_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4640_J4816_S253_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4640_J4816_S253_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4641_J4816_S254_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4641_J4816_S254_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4642_J4816_S255_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4642_J4816_S255_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4643_J4816_S256_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4643_J4816_S256_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4644_J4816_S257_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4644_J4816_S257_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4645_J4816_S258_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4645_J4816_S258_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4646_J4816_S259_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4646_J4816_S259_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4647_J4816_S260_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4647_J4816_S260_L001_R1_001_fastqc.zip
FastQC (raw)	all_sections	SE4648_J4816_S261_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/raw_fastqc/SE4648_J4816_S261_L001_R1_001_fastqc.zip
Cutadapt	all_sections	SE4602_J4816_S215_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4602_J4816_cutadapt.log
Cutadapt	all_sections	SE4603_J4816_S216_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4603_J4816_cutadapt.log
Cutadapt	all_sections	SE4604_J4816_S217_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4604_J4816_cutadapt.log
Cutadapt	all_sections	SE4605_J4816_S218_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4605_J4816_cutadapt.log
Cutadapt	all_sections	SE4606_J4816_S219_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4606_J4816_cutadapt.log
Cutadapt	all_sections	SE4607_J4816_S220_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4607_J4816_cutadapt.log
Cutadapt	all_sections	SE4608_J4816_S221_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4608_J4816_cutadapt.log
Cutadapt	all_sections	SE4609_J4816_S222_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4609_J4816_cutadapt.log
Cutadapt	all_sections	SE4610_J4816_S223_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4610_J4816_cutadapt.log
Cutadapt	all_sections	SE4611_J4816_S224_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4611_J4816_cutadapt.log
Cutadapt	all_sections	SE4612_J4816_S225_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4612_J4816_cutadapt.log
Cutadapt	all_sections	SE4613_J4816_S226_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4613_J4816_cutadapt.log
Cutadapt	all_sections	SE4614_J4816_S227_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4614_J4816_cutadapt.log
Cutadapt	all_sections	SE4615_J4816_S228_L001_R1_001	/srv/projects/ace_bioinformatics/acepipe_results/P271_C_single/J4816/qc_reports/cutadapt_reports/SE4615_J4816_cutadapt.log
