Sample	input_reads	surviving	surviving_pct	dropped	dropped_pct
SE4602_J4816_S215_L001_R1_001	8482.0	8081.0	95.27	401.0	4.73
SE4603_J4816_S216_L001_R1_001	9872.0	9444.0	95.66	428.0	4.34
SE4604_J4816_S217_L001_R1_001	10647.0	10144.0	95.28	503.0	4.72
SE4605_J4816_S218_L001_R1_001	8291.0	7934.0	95.69	357.0	4.31
SE4606_J4816_S219_L001_R1_001	9046.0	8630.0	95.4	416.0	4.6
SE4607_J4816_S220_L001_R1_001	15027.0	14294.0	95.12	733.0	4.88
SE4608_J4816_S221_L001_R1_001	12568.0	11972.0	95.26	596.0	4.74
SE4609_J4816_S222_L001_R1_001	8894.0	8503.0	95.6	391.0	4.4
SE4610_J4816_S223_L001_R1_001	11179.0	10709.0	95.8	470.0	4.2
SE4611_J4816_S224_L001_R1_001	7231.0	6903.0	95.46	328.0	4.54
SE4612_J4816_S225_L001_R1_001	11887.0	11227.0	94.45	660.0	5.55
SE4613_J4816_S226_L001_R1_001	8977.0	8636.0	96.2	341.0	3.8
SE4614_J4816_S227_L001_R1_001	9000.0	8506.0	94.51	494.0	5.49
SE4615_J4816_S228_L001_R1_001	8917.0	8539.0	95.76	378.0	4.24
SE4616_J4816_S229_L001_R1_001	10419.0	10096.0	96.9	323.0	3.1
SE4617_J4816_S230_L001_R1_001	7689.0	7321.0	95.21	368.0	4.79
SE4618_J4816_S231_L001_R1_001	11011.0	10468.0	95.07	543.0	4.93
SE4619_J4816_S232_L001_R1_001	12697.0	12152.0	95.71	545.0	4.29
SE4620_J4816_S233_L001_R1_001	12286.0	11771.0	95.81	515.0	4.19
SE4621_J4816_S234_L001_R1_001	10009.0	9583.0	95.74	426.0	4.26
SE4622_J4816_S235_L001_R1_001	9756.0	9390.0	96.25	366.0	3.75
SE4623_J4816_S236_L001_R1_001	9306.0	8961.0	96.29	345.0	3.71
SE4624_J4816_S237_L001_R1_001	11314.0	10784.0	95.32	530.0	4.68
SE4625_J4816_S238_L001_R1_001	8322.0	7934.0	95.34	388.0	4.66
SE4626_J4816_S239_L001_R1_001	9416.0	9078.0	96.41	338.0	3.59
SE4627_J4816_S240_L001_R1_001	9169.0	8817.0	96.16	352.0	3.84
SE4628_J4816_S241_L001_R1_001	9648.0	9248.0	95.85	400.0	4.15
SE4629_J4816_S242_L001_R1_001	10727.0	9818.0	91.53	909.0	8.47
SE4630_J4816_S243_L001_R1_001	10735.0	9865.0	91.9	870.0	8.1
SE4631_J4816_S244_L001_R1_001	10751.0	10320.0	95.99	431.0	4.01
SE4632_J4816_S245_L001_R1_001	10739.0	10308.0	95.99	431.0	4.01
SE4633_J4816_S246_L001_R1_001	9901.0	9539.0	96.34	362.0	3.66
SE4634_J4816_S247_L001_R1_001	9434.0	9092.0	96.37	342.0	3.63
SE4635_J4816_S248_L001_R1_001	12091.0	11572.0	95.71	519.0	4.29
SE4636_J4816_S249_L001_R1_001	13347.0	12827.0	96.1	520.0	3.9
SE4637_J4816_S250_L001_R1_001	12794.0	12282.0	96.0	512.0	4.0
SE4638_J4816_S251_L001_R1_001	8789.0	8383.0	95.38	406.0	4.62
SE4639_J4816_S252_L001_R1_001	8575.0	8246.0	96.16	329.0	3.84
SE4640_J4816_S253_L001_R1_001	8340.0	7945.0	95.26	395.0	4.74
SE4641_J4816_S254_L001_R1_001	9133.0	8811.0	96.47	322.0	3.53
SE4642_J4816_S255_L001_R1_001	9576.0	9149.0	95.54	427.0	4.46
SE4643_J4816_S256_L001_R1_001	14703.0	13979.0	95.08	724.0	4.92
SE4644_J4816_S257_L001_R1_001	11383.0	10825.0	95.1	558.0	4.9
SE4645_J4816_S258_L001_R1_001	8884.0	8560.0	96.35	324.0	3.65
SE4646_J4816_S259_L001_R1_001	9639.0	9197.0	95.41	442.0	4.59
SE4647_J4816_S260_L001_R1_001	11764.0	11137.0	94.67	627.0	5.33
SE4648_J4816_S261_L001_R1_001	10735.0	10116.0	94.23	619.0	5.77
