index,Unassigned,k__Fungi
SE4602_J4816,518.0,6781.0
SE4603_J4816,2276.0,6107.0
SE4604_J4816,1415.0,7713.0
SE4605_J4816,519.0,6581.0
SE4606_J4816,481.0,7499.0
SE4607_J4816,1197.0,12146.0
SE4608_J4816,1923.0,9325.0
SE4609_J4816,1300.0,6569.0
SE4610_J4816,3227.0,6617.0
SE4611_J4816,624.0,5566.0
SE4612_J4816,1503.0,8689.0
SE4613_J4816,1474.0,6530.0
SE4614_J4816,1986.0,5952.0
SE4615_J4816,1072.0,6897.0
SE4616_J4816,1878.0,7699.0
SE4617_J4816,1369.0,5347.0
SE4618_J4816,1586.0,8210.0
SE4619_J4816,951.0,10484.0
SE4620_J4816,3922.0,7246.0
SE4621_J4816,1248.0,7642.0
SE4622_J4816,2215.0,6637.0
SE4623_J4816,684.0,7637.0
SE4624_J4816,1182.0,8854.0
SE4625_J4816,1908.0,5502.0
SE4626_J4816,414.0,7978.0
SE4627_J4816,946.0,7074.0
SE4628_J4816,417.0,8115.0
SE4629_J4816,1209.0,7680.0
SE4630_J4816,468.0,8727.0
SE4631_J4816,1015.0,8434.0
SE4632_J4816,2329.0,7348.0
SE4633_J4816,1700.0,7302.0
SE4634_J4816,1196.0,7105.0
SE4635_J4816,2181.0,8818.0
SE4636_J4816,1619.0,10388.0
SE4637_J4816,2233.0,8880.0
SE4638_J4816,1730.0,6135.0
SE4639_J4816,1133.0,6244.0
SE4640_J4816,1176.0,6280.0
SE4641_J4816,1206.0,7081.0
SE4642_J4816,1781.0,6729.0
SE4643_J4816,1551.0,11326.0
SE4644_J4816,1344.0,8888.0
SE4645_J4816,1256.0,6754.0
SE4646_J4816,1121.0,7360.0
SE4647_J4816,2755.0,7531.0
SE4648_J4816,642.0,8767.0
