index,Unassigned;__,k__Fungi;__,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiobolomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Calcarisporiellomycota,k__Fungi;p__Chytridiomycota,k__Fungi;p__Entorrhizomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Mortierellomycota,k__Fungi;p__Mucoromycota,k__Fungi;p__Rozellomycota,k__Fungi;p__Zoopagomycota,k__Fungi;p__unidentified
SE4602_J4816,518.0,26.0,0.0,4412.0,0.0,1485.0,0.0,4.0,15.0,51.0,0.0,54.0,291.0,311.0,52.0,0.0,80.0
SE4603_J4816,2276.0,11.0,0.0,4169.0,0.0,1204.0,0.0,2.0,0.0,0.0,2.0,39.0,316.0,272.0,44.0,0.0,48.0
SE4604_J4816,1415.0,21.0,0.0,5717.0,0.0,1083.0,0.0,0.0,47.0,0.0,55.0,44.0,429.0,17.0,285.0,0.0,15.0
SE4605_J4816,519.0,20.0,0.0,4852.0,0.0,1180.0,0.0,0.0,20.0,0.0,24.0,33.0,324.0,16.0,106.0,0.0,6.0
SE4606_J4816,481.0,58.0,2.0,5571.0,0.0,1294.0,0.0,0.0,28.0,0.0,134.0,13.0,295.0,18.0,79.0,0.0,7.0
SE4607_J4816,1197.0,57.0,4.0,9095.0,0.0,2321.0,0.0,0.0,29.0,0.0,22.0,16.0,378.0,32.0,164.0,0.0,28.0
SE4608_J4816,1923.0,46.0,0.0,5810.0,0.0,2475.0,3.0,0.0,20.0,0.0,11.0,56.0,364.0,283.0,174.0,0.0,83.0
SE4609_J4816,1300.0,40.0,0.0,4589.0,0.0,1058.0,0.0,2.0,53.0,0.0,40.0,64.0,236.0,218.0,257.0,0.0,12.0
SE4610_J4816,3227.0,0.0,0.0,4552.0,0.0,1441.0,0.0,0.0,10.0,7.0,13.0,37.0,224.0,209.0,112.0,0.0,12.0
SE4611_J4816,624.0,0.0,0.0,4171.0,0.0,709.0,0.0,0.0,41.0,5.0,11.0,49.0,320.0,112.0,105.0,0.0,43.0
