index,Unassigned;__;__,k__Fungi;__;__,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Ascomycota;__,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Ascomycota;c__unidentified,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Dacrymycetes,k__Fungi;p__Basidiomycota;c__GS25,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Basidiomycota;c__Tritirachiomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Blastocladiomycota;c__unidentified,k__Fungi;p__Calcarisporiellomycota;c__Calcarisporiellomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;c__Synchytriomycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Entorrhizomycota;c__Entorrhizomycetes,k__Fungi;p__Glomeromycota;__,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Glomeromycota;c__unidentified,k__Fungi;p__Kickxellomycota;__,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Kickxellomycota;c__unidentified,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Mucoromycota;c__Endogonomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes,k__Fungi;p__Rozellomycota;__,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Zoopagomycota;c__unidentified,k__Fungi;p__unidentified;c__unidentified
SE4602_J4816,518.0,26.0,0.0,31.0,2.0,368.0,888.0,0.0,0.0,5.0,83.0,50.0,3.0,0.0,7.0,2944.0,31.0,0.0,0.0,451.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,992.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,291.0,0.0,311.0,0.0,0.0,16.0,36.0,0.0,0.0,80.0
SE4603_J4816,2276.0,11.0,0.0,24.0,0.0,233.0,832.0,0.0,0.0,0.0,181.0,36.0,0.0,0.0,6.0,2835.0,22.0,0.0,0.0,260.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,0.0,316.0,0.0,272.0,0.0,0.0,20.0,24.0,0.0,0.0,48.0
SE4604_J4816,1415.0,21.0,0.0,137.0,0.0,391.0,1372.0,0.0,6.0,2.0,275.0,42.0,32.0,9.0,13.0,3379.0,59.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,28.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,12.0,0.0,18.0,0.0,37.0,0.0,0.0,6.0,3.0,35.0,0.0,429.0,0.0,17.0,0.0,0.0,230.0,55.0,0.0,0.0,15.0
SE4605_J4816,519.0,20.0,0.0,70.0,0.0,223.0,1257.0,0.0,0.0,9.0,311.0,16.0,46.0,0.0,7.0,2837.0,76.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,56.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,31.0,0.0,324.0,2.0,14.0,0.0,0.0,83.0,23.0,0.0,0.0,6.0
SE4606_J4816,481.0,58.0,2.0,65.0,0.0,199.0,1851.0,0.0,0.0,0.0,238.0,30.0,94.0,6.0,0.0,2991.0,97.0,0.0,0.0,349.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,9.0,54.0,871.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,7.0,0.0,44.0,22.0,68.0,0.0,0.0,0.0,3.0,10.0,0.0,295.0,0.0,18.0,0.0,0.0,40.0,39.0,0.0,0.0,7.0
SE4607_J4816,1197.0,57.0,4.0,152.0,0.0,262.0,1729.0,0.0,0.0,3.0,490.0,43.0,29.0,0.0,19.0,5797.0,571.0,0.0,0.0,943.0,0.0,48.0,0.0,0.0,5.0,5.0,23.0,10.0,208.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,6.0,10.0,0.0,378.0,0.0,32.0,0.0,0.0,93.0,71.0,0.0,0.0,28.0
SE4608_J4816,1923.0,46.0,0.0,38.0,0.0,502.0,1050.0,0.0,0.0,2.0,151.0,75.0,14.0,12.0,19.0,3692.0,255.0,0.0,0.0,1642.0,0.0,88.0,13.0,0.0,0.0,2.0,0.0,0.0,70.0,656.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,41.0,0.0,364.0,0.0,283.0,0.0,0.0,130.0,44.0,0.0,0.0,83.0
SE4609_J4816,1300.0,40.0,0.0,43.0,20.0,490.0,1217.0,0.0,0.0,0.0,109.0,112.0,34.0,11.0,0.0,2512.0,41.0,0.0,0.0,482.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,551.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,14.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,44.0,0.0,236.0,0.0,218.0,0.0,4.0,206.0,47.0,0.0,0.0,12.0
SE4610_J4816,3227.0,0.0,0.0,21.0,0.0,298.0,983.0,0.0,0.0,6.0,103.0,20.0,9.0,3.0,7.0,3059.0,43.0,0.0,0.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,6.0,0.0,5.0,32.0,0.0,224.0,0.0,209.0,0.0,0.0,66.0,46.0,0.0,0.0,12.0
SE4611_J4816,624.0,0.0,0.0,11.0,0.0,246.0,769.0,0.0,0.0,4.0,128.0,59.0,4.0,2.0,4.0,2923.0,21.0,0.0,0.0,375.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,0.0,2.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,49.0,0.0,320.0,0.0,112.0,0.0,0.0,75.0,30.0,0.0,0.0,43.0
