,0
SE4607_J4816,13343.0
SE4643_J4816,12877.0
SE4636_J4816,12007.0
SE4619_J4816,11435.0
SE4608_J4816,11248.0
SE4620_J4816,11168.0
SE4637_J4816,11113.0
SE4635_J4816,10999.0
SE4647_J4816,10286.0
SE4644_J4816,10232.0
SE4612_J4816,10192.0
SE4624_J4816,10036.0
SE4610_J4816,9844.0
SE4618_J4816,9796.0
SE4632_J4816,9677.0
SE4616_J4816,9577.0
SE4631_J4816,9449.0
SE4648_J4816,9409.0
SE4630_J4816,9195.0
SE4604_J4816,9128.0
SE4633_J4816,9002.0
SE4621_J4816,8890.0
SE4629_J4816,8889.0
SE4622_J4816,8852.0
SE4628_J4816,8532.0
SE4642_J4816,8510.0
SE4646_J4816,8481.0
SE4626_J4816,8392.0
SE4603_J4816,8383.0
SE4623_J4816,8321.0
SE4634_J4816,8301.0
SE4641_J4816,8287.0
SE4627_J4816,8020.0
SE4645_J4816,8010.0
SE4613_J4816,8004.0
SE4606_J4816,7980.0
SE4615_J4816,7969.0
SE4614_J4816,7938.0
SE4609_J4816,7869.0
SE4638_J4816,7865.0
SE4640_J4816,7456.0
SE4625_J4816,7410.0
SE4639_J4816,7377.0
SE4602_J4816,7299.0
SE4605_J4816,7100.0
SE4617_J4816,6716.0
SE4611_J4816,6190.0
