Feature ID	Taxon	Consensus
442e821e6eef35cb010136ba75bbcb5c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	1.0
e7ae450a59785c3fb177a03b9be2df5a	k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.9
fe3a9cecde21f2a91a695bfec1e6ecc6	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	0.6
55117b1e16f5248d245ffc56ae2a38eb	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	1.0
85353063028d9766d02bb6aaf9faf3b3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium_anisopliae	0.6
6e6145891ec3580d7ac7146883f9c8bb	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae	1.0
733d252076aa3454df9310fcd7fb3fef	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium	0.6
2a3a97a4449f6a5f3dc546f6bbb7e5b0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.7
72e9bd2efb9cea1a1d0a25b0ac4a0d34	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.6
41fbfe01bb2f49068b041ef5dda0ca10	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.7
cca2c3069d6ada3219d9a27be464f11d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.6
cc91dda1def05351c7aa887894baf75d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.6
445ff750d71615e5ffdb8cdfa2c59a5c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae	0.9
e21d8fea030a07f6fbfc96621b45984d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium_anisopliae	0.6
2431e219dee73a5a56bb7ee14e67e8e9	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae	0.8
cd26a01f8c90c0b9c3ece7fa5ba69585	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7
34e7b56c9a3d2ac33f55f905a08e3ac8	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae	0.9
3b634ef0f2b499c893fe517ee5611fe6	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	1.0
037f71a2bb5ed87cc2fb4cc26aebb54c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	1.0
81df34eba5aac71d11edb9d77e01804d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7142857142857143
ca963629db58d4c9f7a4892714a989cb	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae	1.0
224090e4d016e818d6e385bc14a24264	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron	0.8
01cd6038be37b2f260d7f2aad7676ae8	k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__unidentified;g__unidentified;s__unidentified	0.9
171c4b5790554134eb06c24630622510	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Tolypocladium	0.8
c2f948d3b5b0604f68b2e05ada7f7d1d	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified	0.6
a5733787d826c417f7eecf4b0b942865	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1.0
cf356aa5ec7a6ede4603394d2cd70001	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae	0.8
77f3b7c771f6fd6009ecb57040616474	k__Fungi;p__Ascomycota;c__Sordariomycetes	1.0
4604461b8a153097576c7c2b2061533c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.9
2eb4fc85e1280eb67cea84222096a8bc	k__Fungi;p__Ascomycota;c__Eurotiomycetes	1.0
2e81c47fae9cdc32abef2ff21764c640	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified	0.6
463fc35900c30e7ba9e3f5c3177fe49c	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unidentified	0.6
bcf0fa01f71c897b1e2241cad359d5ad	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	0.7
32ffad62514a99bc1346d3663c372fe6	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.9
