Sample,Total Reads Count,Reads Passing QC,Reads in complete features table
SE4602,9223,8081,7299
SE4603,10997,9444,8383
SE4604,11442,10144,9128
SE4605,8769,7934,7100
SE4606,9405,8630,7980
SE4607,15261,14294,13343
SE4608,12999,11972,11248
SE4609,9623,8503,7869
SE4610,11573,10709,9844
SE4611,7674,6903,6190
SE4612,12268,11227,10192
SE4613,9414,8636,8004
SE4614,9510,8506,7938
SE4615,9436,8539,7969
SE4616,10678,10096,9577
SE4617,8179,7321,6716
SE4618,11446,10468,9796
SE4619,13151,12152,11435
SE4620,12658,11771,11168
SE4621,10450,9583,8890
SE4622,10223,9390,8852
SE4623,9749,8961,8321
SE4624,11714,10784,10036
SE4625,8510,7934,7410
SE4626,9626,9078,8392
SE4627,9657,8817,8020
SE4628,9949,9248,8532
SE4629,11156,9818,8889
SE4630,11063,9865,9195
SE4631,11219,10320,9449
SE4632,11090,10308,9677
SE4633,10110,9539,9002
SE4634,9721,9092,8301
SE4635,12366,11572,10999
SE4636,13402,12827,12007
SE4637,12852,12282,11113
SE4638,8795,8383,7865
SE4639,8591,8246,7377
SE4640,8352,7945,7456
SE4641,9146,8811,8287
SE4642,9588,9149,8510
SE4643,14719,13979,12877
SE4644,11399,10825,10232
SE4645,8894,8560,8010
SE4646,9652,9197,8481
SE4647,11784,11137,10286
SE4648,10748,10116,9409
