Transect,Plot,Grass_Cover_%,Other_Herb_Cover_%
Forest,Forest_1,0,0.5
Forest,Forest_2,0,0
Forest,Forest_3,0,0
Forest_Edge_Interior,Forest_Edge_Interior_1,10,15.5
Forest_Edge_Interior,Forest_Edge_Interior_2,0,15
Forest_Edge_Interior,Forest_Edge_Interior_3,5,40
Forest_Edge_Exterior,Forest_Edge_Exterior_1,40,32.5
Forest_Edge_Exterior,Forest_Edge_Exterior_2,8,86
Forest_Edge_Exterior,Forest_Edge_Exterior_3,65,73
Pioneer_Near,Pioneer_Near_1,0,10
Pioneer_Near,Pioneer_Near_2,0,81
Pioneer_Near,Pioneer_Near_3,0,11.5
Pioneer_Far,Pioneer_Far_1,10,6
Pioneer_Far,Pioneer_Far_2,0,33
Pioneer_Far,Pioneer_Far_3,22,7.5
Grass_Near,Grass_Near_1,40.5,1
Grass_Near,Grass_Near_2,52,52
Grass_Near,Grass_Near_3,52,52.5
Grass_Far,Grass_Far_1,90,13
Grass_Far,Grass_Far_2,75,36.5
Grass_Far,Grass_Far_3,105,9
UMNR,UMNR_1,0,2
UMNR,UMNR_2,0,5
UMNR,UMNR_3,0,0
