"","Taxonomy","Forest_A1","Forest_A2","Forest_B1","Forest_B2","Forest_C1","Forest_C2","Forest_Interior_A1","Forest_Interior_A2","Forest_Interior_B1","Forest_Interior_B2","Forest_Interior_C1","Forest_Interior_C2","Forest_Exterior_A1","Forest_Exterior_A2","Forest_Exterior_B1","Forest_Exterior_B2","Forest_Exterior_C1","Forest_Exterior_C2","Pioneer_Near_A1","Pioneer_Near_A2","Pioneee_Near_B1","Pioneer_Near_B2","Pioneer_Near_C1","Pioneer_Near_C2","Pioneer_Far_A1","Pioneer_Far_A2","Pioneer_Fa_B1","Pioneer_Far_B2","Pioneer_Far_C1","Pioneer_Far_C2","Grass_Near_A1","Grass_Near_A2","Grass_Near_B1","Grass_Near_B2","Grass_Near_C1","Gras_Near_C2","UMNR_A1","UMNR A2","UMNR B1","UMNR B2","UMNR_C1","UMNR_C2","Grass_Far_A2","Grass_Far_B1","Grass_Fae_B2","Grass_Far_C1 ","Grass_Far_C2","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource"
"1","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales",619,617,250,369,306,432,453,390,206,193,184,210,89,92,136,53,129,223,41,90,175,516,167,69,81,104,427,387,253,225,106,84,103,75,88,98,531,693,633,664,919,1118,34,62,47,155,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","k__Fungi;p__Ascomycota;c__Eurotiomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,79,194,263,30,532,0,0,0,0,0,4,182,436,282,0,715,601,6,893,737,550,5,1593,0,0,0,0,0,0,490,565,1151,937,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium",162,186,0,0,0,0,169,196,425,433,0,0,262,180,470,447,296,546,0,0,0,215,0,57,0,0,0,0,106,168,353,311,236,311,0,370,0,0,0,0,0,0,375,232,350,336,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae",125,211,136,166,164,330,192,93,44,48,175,89,62,20,105,105,173,183,463,228,204,252,202,135,114,72,343,271,363,396,75,42,69,106,119,35,0,0,0,0,0,0,132,186,155,135,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae",278,229,270,112,254,318,8,6,45,13,158,95,0,0,0,0,0,80,98,232,611,59,38,8,172,133,125,159,102,75,0,0,0,0,0,0,18,49,0,88,142,395,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium",127,130,31,82,57,160,404,0,193,204,20,14,166,101,102,119,42,151,0,171,213,261,188,0,0,0,0,0,0,71,202,121,91,78,124,102,0,0,0,0,0,0,0,101,124,238,163,"Purpureocillium","D1613AF8-1A23-429D-A4DE-D1610DAFF28E","519529","13","Pathotroph","Fungal Parasite","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"8","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae",38,42,0,0,12,0,45,38,41,60,0,0,94,63,167,228,143,252,0,23,34,87,117,59,0,0,0,0,0,0,192,344,184,247,106,350,0,0,0,0,0,0,197,232,227,70,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified",0,0,240,0,0,0,0,0,0,0,238,138,0,188,5,0,202,27,0,0,358,95,0,301,19,0,0,0,0,0,0,0,0,0,1789,0,0,0,0,0,0,0,312,0,0,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae",62,99,179,93,119,255,16,0,77,33,30,39,0,23,56,12,128,87,29,0,31,33,0,0,126,86,98,100,143,151,25,30,33,21,31,242,70,83,52,203,120,403,99,50,50,89,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified",0,0,9,0,0,18,0,0,102,0,404,46,209,347,132,0,225,0,0,0,933,191,0,0,3,0,0,0,0,0,0,0,69,136,257,0,0,0,0,0,0,0,499,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
