Plot,Sample,Total_N,Total_P,Total_NH4-N,Total NO3-N,Total_Organic,Ni:No
Forest_1,Forest_1_A,0.82,0.045,0.224924012,0.00455927,0.229483282,3.573245041
Forest_1,Forest_1_B,0.92,0.053,0.511326861,0.009708738,0.521035599,1.765714286
Forest_2,Forest_2_A,1.12,0.084,0.71942446,0.129496403,0.848920863,1.319322034
Forest_2,Forest_2_B,1.43,0.087,0.880597015,0.059701493,0.940298507,1.520793651
Forest_3,Forest_3_A,0.87,0.080,0.493670886,0.012658228,0.506329114,1.71825
Forest_3,Forest_3_B,1.15,0.059,0.819875776,0.02484472,0.844720497,1.361397059
Forest_Edge_Interior_1,Forest_Edge_Interior_1_A,1.22,0.076,1.340659341,0.417582418,1.758241758,0.693875
Forest_Edge_Interior_1,Forest_Edge_Interior_1_B,1.05,0.059,0.406349206,0.019047619,0.425396825,2.468283582
Forest_Edge_Interior_2,Forest_Edge_Interior_2_A,0.89,0.042,0.556451613,0.012096774,0.568548387,1.565390071
Forest_Edge_Interior_2,Forest_Edge_Interior_2_B,0.87,0.057,0.646258503,0.020408163,0.666666667,1.305
Forest_Edge_Interior_3,Forest_Edge_Interior_3_A,1.04,0.073,1.542168675,0.048192771,1.590361446,0.653939394
Forest_Edge_Interior_3,Forest_Edge_Interior_3_B,0.79,0.042,0.320541761,0.009029345,0.329571106,2.397054795
Forest_Edge_Exterior_1,Forest_Edge_Exterior_1_A,1.21,0.119,2.134831461,4.382022472,6.516853933,0.185672414
Forest_Edge_Exterior_1,Forest_Edge_Exterior_1_B,1.88,0.146,2.279069767,2.511627907,4.790697674,0.392427184
Forest_Edge_Exterior_2,Forest_Edge_Exterior_2_A,1.11,0.089,3.30952381,0.214285714,3.523809524,0.315
Forest_Edge_Exterior_2,Forest_Edge_Exterior_2_B,1.12,0.081,2.037037037,0.259259259,2.296296296,0.487741935
Forest_Edge_Exterior_3,Forest_Edge_Exterior_3_A,1.41,0.091,1.131578947,0.078947368,1.210526316,1.164782609
Forest_Edge_Exterior_3,Forest_Edge_Exterior_3_B,1.45,0.069,0.464864865,0.016216216,0.481081081,3.014044944
Pioneer_Near_1,Pioneer_Near_1_A,0.80,0.086,0.56227758,0.014234875,0.576512456,1.387654321
Pioneer_Near_1,Pioneer_Near_1_B,0.88,0.103,1.166666667,0.074074074,1.240740741,0.709253731
Pioneer_Near_2,Pioneer_Near_2_A,1.22,0.098,1.142857143,0.035714286,1.178571429,1.035151515
Pioneer_Near_2,Pioneer_Near_2_B,0.92,0.073,0.436781609,0.068965517,0.505747126,1.819090909
Pioneer_Near_3,Pioneer_Near_3_A,1.39,0.123,3.784946237,0.043010753,3.827956989,0.363117978
Pioneer_Near_3,Pioneer_Near_3_B,1.19,0.131,1.65,0.05,1.7,0.7
Pioneer_Far_1,Pioneer_Far_1_A,1.22,0.075,1.103448276,0.014778325,1.118226601,1.091013216
Pioneer_Far_1,Pioneer_Far_1_B,1.33,0.084,0.939130435,0.013043478,0.952173913,1.396803653
Pioneer_Far_2,Pioneer_Far_2_A,1.04,0.083,1.089430894,0.024390244,1.113821138,0.933722628
Pioneer_Far_2,Pioneer_Far_2_B,1.07,0.086,1.654320988,0.074074074,1.728395062,0.619071429
Pioneer_Far_3,Pioneer_Far_3_A,0.98,0.077,1.154639175,0.030927835,1.18556701,0.826608696
Pioneer_Far_3,Pioneer_Far_3_B,0.92,0.065,1.085714286,0.028571429,1.114285714,0.825641026
Grass_Near_1,Grass_Near_1_A,2.11,0.264,1.913043478,0.347826087,2.260869565,0.933269231
Grass_Near_1,Grass_Near_1_B,2.16,0.243,2.235294118,0.073529412,2.308823529,0.935541401
Grass_Near_2,Grass_Near_2_A,1.55,0.166,1.291005291,0.063492063,1.354497354,1.144335938
Grass_Near_2,Grass_Near_2_B,1.34,0.184,2.061538462,0.153846154,2.215384615,0.604861111
Grass_Near_3,Grass_Near_3_A,1.75,0.191,0.621794872,0.487179487,1.108974359,1.578034682
Grass_Near_3,Grass_Near_3_B,1.23,0.171,0.991735537,0.107438017,1.099173554,1.119022556
Grass_Far_1,Grass_Far_1_A,1.04,0.053,3.470588235,0.088235294,3.558823529,0.292231405
Grass_Far_1,Grass_Far_1_B,1.26,0.053,2.404040404,0.03030303,2.434343434,0.517593361
Grass_Far_2,Grass_Far_2_A,0.93,0.051,3.771428571,0.085714286,3.857142857,0.241111111
Grass_Far_2,Grass_Far_2_B,1.23,0.054,5.64,1,6.64,0.185240964
Grass_Far_3,Grass_Far_3_A,1.15,0.058,2.787234043,0.127659574,2.914893617,0.394525547
Grass_Far_3,Grass_Far_3_B,1.01,0.046,1.935483871,0.032258065,1.967741935,0.513278689
UMNR_1,UMNR_1_A,1.67,0.126,0.955357143,0.0625,1.017857143,1.640701754
UMNR_1,UMNR_1_B,1.08,0.113,1.362068966,0.706896552,2.068965517,0.522
UMNR_2,UMNR_2_A,1.29,0.119,0.359322034,0.074576271,0.433898305,2.973046875
UMNR_2,UMNR_2_B,0.72,0.069,0.308411215,0.028037383,0.336448598,2.14
UMNR_3,UMNR_3_A,0.69,0.073,0.253333333,0.01,0.263333333,2.620253165
UMNR_3,UMNR_3_B,1.23,0.198,1.900826446,0.661157025,2.561983471,0.480096774
