Transect,Plot,Actephilia_lindleyi,Alangium_vilosum,Alphitonia_excelsa,Anthocarapa_nitidula,Archontophoenix_cunninghamiana,Argyrodendron_trifoliolatum ,Atractocarpus_chartceus,Breynia_oblongifolia,Castanospermum_australe,Castanospora_alphandii,Cinnamomum_oliveri,Cordyline_rubra,Cryptocarya_glaucenscens,Cryptocarya_obovata,Deeringia_arborescens,Dendrocnide_excelsa,Divs_tent,Elaeocarpus_kirtonii,Emmenosperma_alphitonioides,Endiandra_sp,Ficus_coronata,Flindersia_schottiana,Guioa_semiglauca,Hedraianthere_porphyropetala,Helicia_glabriflora,Homalanthus_populifolius,Linospadix_monostachyos,Melicope_micrococca,Mischarytera_lauteriana,Neolitsea_australiensis,Parsonsia_sp,Persia_americana,Planchonella_australis,Polysoma_cunninghamii,Sarcopteryx_stipata,Sloanea_woolsii,Synoum_glandulosum,Syzygium_corynathum,Syzygium_hodgkinsoniae,Syzygium_oleosum,Tabernaemontana_pandacaqui,Toona_ciliata,Wilkiea_austroqueenslandica,Wilkiea_macrophylla
Forest,Forest_1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Forest,Forest_2,0,1,0,3,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Forest,Forest_3,0,5,0,1,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Forest_Edge_Interior,Forest_Edge_Interior_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0
Forest_Edge_Interior,Forest_Edge_Interior_2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Forest_Edge_Interior,Forest_Edge_Interior_3,0,0,0,0,0,0,0,5,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Forest_Edge_Exterior,Forest_Edge_Exterior_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Forest_Edge_Exterior,Forest_Edge_Exterior_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest_Edge_Exterior,Forest_Edge_Exterior_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pioneer_Near,Pioneer_Near_1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,5,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0
Pioneer_Near,Pioneer_Near_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
Pioneer_Near,Pioneer_Near_3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0
Pioneer_Far,Pioneer_Far_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pioneer_Far,Pioneer_Far_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pioneer_Far,Pioneer_Far_3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass_Near,Grass_Near_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass_Near,Grass_Near_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Grass_Near,Grass_Near_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass_Far,Grass_Far_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass_Far,Grass_Far_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass_Far,Grass_Far_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMNR,UMNR_1,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UMNR,UMNR_2,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
