Sample,Lat,Long,,,,,
Forest A1,-26.774794,152.877859,,,,,
Forest A2,-26.774784,152.877869,,,,,
Forest B1,-26.774825,152.877941,,,,,
Forest B2,-26.774815,152.877951,,,,,
Forest C1,-26.774835,152.878038,,,,,
Forest C2,-26.774825,152.878048,,,,,
Forest Edge Interior A1,-26.774396,152.877798,,,,,
Forest Edge Interior A2,-26.774386,152.877808,,,,,
Forest Edge Interior B1,-26.774402,152.877716,,,,,
Forest Edge Interior B2,-26.774392,152.877726,,,,,
Forest Edge Interior C1,-26.774472,152.877577,,,,,
Forest Edge Interior C2,-26.774462,152.877587,,,,,
Forest Edge Exterior A1 ,-26.774305,152.877802,,,,,
Forest Edge Exterior A2 ,-26.774295,152.877812,,,,,
Forest Edge Exterior B1 ,-26.774371,152.877668,,,,,
Forest Edge Exterior B2 ,-26.774361,152.877678,,,,,
Forest Edge Exterior C1,-26.774423,152.877558,,,,,
Forest Edge Exterior C2 ,-26.774413,152.877568,,,,,
Pioneer Near A1,-26.774328,152.877806,,,,,
Pioneer Near A2,-26.774318,152.877816,,,,,
Pioneer Near B1,-26.774181,152.877898,,,,,
Pioneer Near B2,-26.774171,152.877908,,,,,
Pioneer Near C1,-26.774109,152.877982,,,,,
Pioneer Near C2,-26.774099,152.877992,,,,,
Pioneer Far A1,-26.773779,152.877329,,,,,
Pioneer Far A2,-26.773769,152.877339,,,,,
Pioneer Far B1,-26.773827,152.877243,,,,,
Pioneer Far B2,-26.773817,152.877253,,,,,
Pioneer Far C1,-26.773862,152.87716,,,,,
Pioneer Far C2,-26.773852,152.87717,,,,,
Grass Near A1,-26.774198,152.877612,,,,,
Grass Near A2,-26.774188,152.877622,,,,,
Grass Near B1,-26.774252,152.877538,,,,,
Grass Near B2,-26.774242,152.877548,,,,,
Grass Near C1,-26.774329,152.877429,,,,,
Grass Near C2,-26.774319,152.877439,,,,,
Grass Far A2,-26.773011,152.876779,,,,,
Grass Far B1,-26.773067,142.876686,,,,,
Grass Far B2,-26.773057,142.876696,,,,,
Grass Far C1,-26.773125,152.876605,,,,,
Grass Far C2,-26.773115,152.876615,,,,,
