Transect,Plot,Sample,TOC,TN,TP,,,,
Forest,Forest_1,Forest_1_A,7.68,0.570,0.216,,,,
Forest,Forest_1,Forest_1_B,7.69,0.578,0.215,,,,
Forest,Forest_2,Forest_2_A,6.60,0.578,0.202,,,,
Forest,Forest_2,Forest_2_B,6.65,0.581,0.213,,,,
Forest,Forest_3,Forest_3_A,6.33,0.559,0.204,,,,
Forest,Forest_3,Forest_3_A,7.90,0.602,0.200,,,,
Forest_Edge_Interior,Forest_Edge_Interior_1,Forest_Edge_Interior_1_A,7.24,0.621,0.229,,,,
Forest_Edge_Interior,Forest_Edge_Interior_1,Forest_Edge_Interior_1_B,7.37,0.618,0.223,,,,
Forest_Edge_Interior,Forest_Edge_Interior_2,Forest_Edge_Interior_2_A,7.12,0.530,0.219,,,,
Forest_Edge_Interior,Forest_Edge_Interior_2,Forest_Edge_Interior_2_B,7.11,0.564,0.217,,,,
Forest_Edge_Interior,Forest_Edge_Interior_3,Forest_Edge_Interior_3_A,6.97,0.551,0.211,,,,
Forest_Edge_Interior,Forest_Edge_Interior_3,Forest_Edge_Interior_3_B,6.22,0.543,0.205,,,,
Forest_Edge_Exterior,Forest_Edge_Exterior_1,Forest_Edge_Exterior_1_A,7.41,0.645,0.224,,,,
Forest_Edge_Exterior,Forest_Edge_Exterior_1,Forest_Edge_Exterior_1_B,6.17,0.542,0.203,,,,
Forest_Edge_Exterior,Forest_Edge_Exterior_2,Forest_Edge_Exterior_2_A,5.05,0.444,0.205,,,,
Forest_Edge_Exterior,Forest_Edge_Exterior_2,Forest_Edge_Exterior_2_B,5.71,0.479,0.226,,,,
Forest_Edge_Exterior,Forest_Edge_Exterior_3,Forest_Edge_Exterior_3_A,5.65,0.482,0.228,,,,
Forest_Edge_Exterior,Forest_Edge_Exterior_3,Forest_Edge_Exterior_3_B,5.07,0.435,0.226,,,,
Pioneer_Near,Pioneer_Near_1,Pioneer_Near_1_A,7.76,0.626,0.208,,,,
Pioneer_Near,Pioneer_Near_1,Pioneer_Near_1_B,6.24,0.599,0.226,,,,
Pioneer_Near,Pioneer_Near_2,Pioneer_Near_2_A,8.69,0.682,0.217,,,,
Pioneer_Near,Pioneer_Near_2,Pioneer_Near_2_B,6.95,0.629,0.234,,,,
Pioneer_Near,Pioneer_Near_3,Pioneer_Near_3_A,6.27,0.512,0.218,,,,
Pioneer_Near,Pioneer_Near_3,Pioneer_Near_3_B,6.89,0.548,0.218,,,,
Pioneer_Far,Pioneer_Far_1,Pioneer_Far_1_A,8.28,0.694,0.228,,,,
Pioneer_Far,Pioneer_Far_1,Pioneer_Far_1_B,9.76,0.776,0.234,,,,
Pioneer_Far,Pioneer_Far_2,Pioneer_Far_2_A,9.67,0.762,0.222,,,,
Pioneer_Far,Pioneer_Far_2,Pioneer_Far_2_B,13.9,0.931,0.218,,,,
Pioneer_Far,Pioneer_Far_3,Pioneer_Far_3_A,7.73,0.672,0.305,,,,
Pioneer_Far,Pioneer_Far_3,Pioneer_Far_3_B,6.66,0.595,0.276,,,,
Grass_Near,Grass_Near_1,Grass_Near_1_A,5.30,0.462,0.206,,,,
Grass_Near,Grass_Near_1,Grass_Near_1_B,6.17,0.485,0.206,,,,
Grass_Near,Grass_Near_2,Grass_Near_2_A,5.59,0.481,0.213,,,,
Grass_Near,Grass_Near_2,Grass_Near_2_B,5.25,0.456,0.210,,,,
Grass_Near,Grass_Near_3,Grass_Near_3_A,4.00,0.365,0.206,,,,
Grass_Near,Grass_Near_3,Grass_Near_3_B,4.74,0.431,0.209,,,,
Grass_Far,Grass_Far_1,Grass_Far_1_B,6.59,0.608,0.222,,,,
Grass_Far,Grass_Far_2,Grass_Far_2_A,5.62,0.515,0.202,,,,
Grass_Far,Grass_Far_2,Grass_Far_2_B,5.49,0.501,0.188,,,,
Grass_Far,Grass_Far_3,Grass_Far_3_A,5.76,0.501,0.211,,,,
Grass_Far,Grass_Far_3,Grass_Far_3_B,6.57,0.560,0.216,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
